Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.6 Core physical parameters
================================================================================
Byte-by-byte Description of file: datafile6_corephy.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     --        id         Sequential identifier
   5- 19 A15    --        ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     --        CoreName   Core name (Unique within Clump)
  28- 31 F4.1   K         Tdust      Dust temperature used for mass calculation
  33- 37 F5.2   Msun      Mcore      Core mass
  39- 43 F5.2   10+23cm-2 N(H2)peak  Column density at continuum peak in a unit of 10^23 cm^-2
  45- 49 I5     au        Radius     Core radius, the geometric mean of the FWHM divided by 2.
  51- 54 F4.2   g.cm-2    Sigma      Surface density
  56- 60 F5.2   10+6cm-3  n(H2)      Molecular volume density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
228 G025.163-00.304 ALMA16 12.9  1.54  0.27  4330 0.24  0.57 
229 G025.163-00.304 ALMA17 12.9  0.74  0.25  2680 0.27  1.17 
230 G025.163-00.304 ALMA18 12.9  0.43  0.17  2680 0.17  0.68 
231 G028.273-00.167 ALMA1  10.9  5.61  1.53  4130 0.95  2.42 
232 G028.273-00.167 ALMA2  10.9  5.34  0.99  3920 1.00  2.68 
233 G028.273-00.167 ALMA3  10.9  2.99  0.86  3090 0.89  3.06 
234 G028.273-00.167 ALMA4  10.9  3.89  0.84  3300 0.96  3.28 
235 G028.273-00.167 ALMA5  10.9  7.12  0.72  5570 0.67  1.25 
236 G028.273-00.167 ALMA6  10.9  8.45  0.69  7630 0.41  0.58 
237 G028.273-00.167 ALMA7  10.9  1.20  0.64  2060 0.83  4.15 
238 G028.273-00.167 ALMA8  10.9  1.70  0.59  2680 0.64  2.67 
239 G028.273-00.167 ALMA9  10.9  1.43  0.47  3300 0.40  1.20 
240 G028.273-00.167 ALMA10 10.9  1.43  0.46  2890 0.51  1.80 
241 G028.273-00.167 ALMA11 10.9  3.04  0.45  4330 0.47  1.13 
242 G028.273-00.167 ALMA12 10.9  2.78  0.44  4540 0.40  0.90 
243 G028.273-00.167 ALMA13 10.9  4.50  0.43  6390 0.32  0.52 
244 G028.273-00.167 ALMA14 10.9  1.83  0.43  3300 0.50  1.54 
245 G028.273-00.167 ALMA15 10.9  4.18  0.38  6600 0.28  0.44 
246 G028.273-00.167 ALMA16 10.9  0.69  0.34  2270 0.40  1.80 
247 G028.273-00.167 ALMA17 10.9  0.67  0.33  2270 0.38  1.74 
248 G028.273-00.167 ALMA18 10.9  0.68  0.32  2270 0.36  1.77 
249 G028.273-00.167 ALMA19 10.9  1.44  0.28  4740 0.18  0.41 
250 G028.541-00.237 ALMA1  13.9 13.36  0.89  8870 0.48  0.58 
251 G028.541-00.237 ALMA2  13.9  8.35  0.86  6190 0.61  1.07 
252 G028.541-00.237 ALMA3  13.9  4.85  0.81  4540 0.65  1.57 
253 G028.541-00.237 ALMA4  13.9  3.85  0.72  4740 0.47  1.09 
254 G028.541-00.237 ALMA5  13.9  6.48  0.72  7010 0.36  0.57 
255 G028.541-00.237 ALMA6  13.9  6.34  0.54  7430 0.32  0.47 
256 G028.541-00.237 ALMA7  13.9  5.27  0.49  5980 0.42  0.75 
257 G028.541-00.237 ALMA8  13.9  2.34  0.48  4540 0.31  0.76 
258 G028.541-00.237 ALMA9  13.9  0.68  0.34  2480 0.34  1.35 
259 G028.541-00.237 ALMA10 13.9  2.51  0.34  5360 0.25  0.49 
260 G028.541-00.237 ALMA11 13.9  2.00  0.30  4330 0.31  0.74 
261 G028.541-00.237 ALMA12 13.9  0.70  0.27  3090 0.21  0.72 
262 G028.541-00.237 ALMA13 13.9  2.68  0.21  8250 0.11  0.14 
263 G028.541-00.237 ALMA14 13.9  0.50  0.20  2480 0.24  1.00 
264 G028.541-00.237 ALMA15 13.9  0.65  0.19  2890 0.21  0.82 
265 G028.541-00.237 ALMA16 13.9  0.41  0.17  2680 0.17  0.64 
266 G028.541-00.237 ALMA17 13.9  0.57  0.16  3300 0.14  0.48 
267 G028.541-00.237 ALMA18 13.9  0.68  0.15  4740 0.08  0.19 
268 G028.564-00.236 ALMA1  12.7 81.10 18.34  4950 9.68 20.24 
269 G028.564-00.236 ALMA2  12.7 25.69  6.76  4330 3.90  9.57 
270 G028.564-00.236 ALMA3  12.7 27.08  4.77  5980 2.13  3.83 
271 G028.564-00.236 ALMA4  12.7 26.89  2.87  6600 1.77  2.83 
272 G028.564-00.236 ALMA5  12.7 10.34  2.32  4330 1.62  3.85 
273 G028.564-00.236 ALMA6  12.7  8.99  2.22  3510 1.99  6.31 
274 G028.564-00.236 ALMA7  12.7 11.50  2.17  4130 1.94  4.96 
275 G028.564-00.236 ALMA8  12.7 10.38  2.13  4540 1.42  3.36 
276 G028.564-00.236 ALMA9  12.7 28.36  2.03  8040 1.26  1.65 
277 G028.564-00.236 ALMA10 12.7  6.96  1.85  3710 1.43  4.12 
278 G028.564-00.236 ALMA11 12.7 12.37  1.55  7010 0.70  1.09 
279 G028.564-00.236 ALMA12 12.7  1.92  1.15  2060 1.23  6.63 
280 G028.564-00.236 ALMA13 12.7  2.12  1.08  2270 1.08  5.51 
281 G028.564-00.236 ALMA14 12.7  5.51  1.07  3920 1.05  2.77 
